Season,Date,Location,Opponent,OpponentRank,Result,IlliniScore,OpponentScore,Note
2022,8/27/2022,vs.,Wyoming,NA,W,30,6,NA
2022,9/2/2022,@,Indiana,NA,L,20,23,NA
2022,9/10/2022,vs.,Virginia,NA,W,24,3,NA
2022,9/22/2022,vs.,Chattanooga,10,W,31,0,NA
2022,10/1/2022,@,Wisconsin,NA,W,34,10,NA
2022,10/8/2022,vs.,Iowa,NA,W,9,6,NA
2022,10/15/2022,vs.,Minnesota,NA,W,26,14,Homecoming
2022,10/29/2022,@,Nebraska,NA,W,26,9,NA
2022,11/5/2022,vs.,Michigan State,NA,L,15,23,NA
2022,11/12/2022,vs.,Purdue,NA,L,24,31,NA
2022,11/19/2022,@,Michigan,NA,L,17,19,NA
2022,11/26/2022,@,Northwestern,3,W,41,3,NA
2022,1/2/2023,"Tampa, FL",Mississippi State,22,L,10,19,ReliaQuest Bowl
2021,8/28/2021,vs.,Nebraska,NA,W,30,22,NA
2021,9/4/2021,vs.,UTSA,NA,L,30,37,NA
2021,9/11/2021,@,Virginia,NA,L,14,42,NA
2021,9/17/2021,vs.,Maryland,NA,L,17,20,NA
2021,9/25/2021,@,Purdue,NA,L,9,13,NA
2021,10/2/2021,vs.,Charlotte,NA,W,24,14,NA
2021,10/9/2021,vs.,Wisconsin,NA,L,0,24,Homecoming
2021,10/23/2021,@,Penn State,7,W,20,18,NA
2021,10/30/2021,vs.,Rutgers,NA,L,14,20,NA
2021,11/6/2021,@,Minnesota,20,W,14,6,NA
2021,11/20/2021,@,Iowa,17,L,23,33,NA
2021,11/27/2021,vs.,Northwestern,NA,W,47,14,NA
2020,10/23/2020,@,Wisconsin,14,L,7,45,NA
2020,10/31/2020,vs.,Purdue,NA,L,24,31,NA
2020,11/7/2020,vs.,Minnesota,NA,L,14,41,NA
2020,11/14/2020,@,Rutgers,NA,W,23,20,NA
2020,11/21/2020,@,Nebraska,NA,W,41,23,NA
2020,11/28/2020,vs.,Ohio State,3,NA,NA,NA,Canceled (COVID-19)
2020,12/5/2020,vs.,Iowa,24,L,21,35,Homecoming
2020,12/12/2020,@,Northwestern,15,L,10,28,NA
2020,12/19/2020,@,Penn State,NA,L,21,56,NA
2019,8/31/2019,vs.,Akron,NA,W,42,3,NA
2019,9/7/2019,@,UConn,NA,W,31,23,NA
2019,9/14/2019,vs.,Eastern Michigan,NA,L,31,34,NA
2019,9/21/2019,vs.,Nebraska,NA,L,38,42,NA
2019,10/5/2019,@,Minnesota,NA,L,17,40,NA
2019,10/12/2019,vs.,Michigan,NA,L,25,42,NA
2019,10/19/2019,vs.,Wisconsin,NA,W,24,23,Homecoming
2019,10/26/2019,@,Purdue,NA,W,24,6,NA
2019,11/2/2019,vs.,Rutgers,NA,W,38,10,NA
2019,11/9/2019,@,Michigan State,NA,W,37,34,NA
2019,11/23/2019,@,Iowa,NA,L,10,19,NA
2019,11/30/2019,vs.,Northwestern,NA,L,10,29,NA
2019,12/30/2019,"Santa Clara, CA",California,NA,L,20,35,Red Box Bowl
2018,9/1/2018,vs.,Kent State,NA,W,31,24,NA
2018,9/8/2018,vs.,Western Illinois,NA,W,34,14,NA
2018,9/15/2018,"Chicago, IL",South Florida,NA,L,19,25,NA
2018,9/21/2018,vs.,Penn State,NA,L,24,63,NA
2018,10/6/2018,@,Rutgers,NA,W,38,17,NA
2018,10/13/2018,vs.,Purdue,NA,L,7,46,Homecoming
2018,10/20/2018,@,Wisconsin,NA,L,20,49,NA
2018,10/27/2018,@,Maryland,NA,L,33,63,NA
2018,11/3/2018,vs.,Minnesota,NA,W,55,31,NA
2018,11/10/2018,@,Nebraska,NA,L,35,54,NA
2018,11/17/2018,vs.,Iowa,NA,L,0,63,NA
2018,11/24/2018,@,Northwestern,NA,L,16,24,NA
2017,9/2/2017,vs.,Ball State,NA,W,24,21,NA
2017,9/9/2017,vs.,Western Kentucky,NA,W,20,7,NA
2017,9/15/2017,@,South Florida,NA,L,23,47,NA
2017,9/29/2017,vs.,Nebraska,NA,L,6,28,NA
2017,10/7/2017,@,Iowa,NA,L,16,45,NA
2017,10/14/2017,vs.,Rutgers,NA,L,24,35,NA
2017,10/21/2017,@,Minnesota,NA,L,17,24,NA
2017,10/28/2017,vs.,Wisconsin,NA,L,10,24,Homecoming
2017,11/4/2017,@,Purdue,NA,L,10,29,NA
2017,11/11/2017,vs.,Indiana,NA,L,14,24,NA
2017,11/18/2017,@,Ohio State,NA,L,14,52,NA
2017,11/25/2017,vs.,Northwestern,NA,L,7,42,NA
2016,9/3/2016,vs.,Murray State,NA,W,52,3,NA
2016,9/10/2016,vs.,North Carolina,NA,L,23,48,NA
2016,9/17/2016,vs.,Western Michigan,NA,L,10,34,NA
2016,10/1/2016,@,Nebraska,NA,L,16,31,NA
2016,10/8/2016,vs.,Purdue,NA,L,31,34,NA
2016,10/15/2016,@,Rutgers,NA,W,24,7,NA
2016,10/22/2016,@,Michigan,NA,L,8,41,NA
2016,10/29/2016,vs.,Minnesota,NA,L,17,40,Homecoming
2016,11/5/2016,vs.,Michigan State,NA,W,31,27,NA
2016,11/12/2016,@,Wisconsin,NA,L,3,48,NA
2016,11/19/2016,vs.,Iowa,NA,L,0,28,NA
2016,11/26/2016,@,Northwestern,NA,L,21,42,NA
2015,9/5/2015,vs.,Kent State,NA,W,52,3,NA
2015,9/12/2015,vs.,Western Illinois,NA,W,44,0,NA
2015,9/19/2015,@,North Carolina,NA,L,14,48,NA
2015,9/26/2015,vs.,Middle Tennessee State,NA,W,27,25,NA
2015,10/3/2015,vs.,Nebraska,NA,W,14,13,NA
2015,10/10/2015,@,Iowa,NA,L,20,29,NA
2015,10/24/2015,vs.,Wisconsin,NA,L,13,24,Homecoming
2015,10/31/2015,@,Penn State,NA,L,0,39,NA
2015,11/7/2015,@,Purdue,NA,W,48,14,NA
2015,11/14/2015,vs.,Ohio State,NA,L,3,28,NA
2015,11/21/2015,@,Minnesota,NA,L,23,32,NA
2015,11/28/2015,"Chicago, IL",Northwestern,NA,L,14,24,NA
2014,8/30/2014,vs.,Youngstown State,NA,W,28,17,NA
2014,9/6/2014,vs.,Western Kentucky,NA,W,42,34,NA
2014,9/13/2014,@,Washington,NA,L,19,44,NA
2014,9/20/2014,vs.,Texas State,NA,W,42,35,NA
2014,9/27/2014,@,Nebraska,NA,L,14,45,NA
2014,10/4/2014,vs.,Purdue,NA,L,27,38,NA
2014,10/11/2014,@,Wisconsin,NA,L,28,38,NA
2014,10/25/2014,vs.,Minnesota,NA,W,28,24,Homecoming
2014,11/1/2014,@,Ohio State,NA,L,14,55,NA
2014,11/15/2014,vs.,Iowa,NA,L,14,30,NA
